ID,WEIGHT
AAPL,0.021552885434712652
ABBV,-0.02291321079715377
ADBE,-0.059549843728930546
AMAT,-0.009938258564733788
AMP,-0.09652952006253611
AVGO,-0.035771819259360085
BX,0.03888794935422214
CAT,0.07785406656012282
CCI,0.028120772383447377
DFS,-0.08278781742736169
EOG,0.030233978556874996
IQV,0.021485350081831694
KLAC,0.10714095422940087
LLY,-0.034833954533324385
LRCX,-0.03453899621550743
MA,0.10681676117102552
MCD,0.08134203009909816
MO,-0.029682580818200265
MSFT,-0.005275183613416202
NFLX,0.07533023313801154
NKE,0.10714095422940087
ORCL,0.05278671534301699
PDD,-0.011384691545896506
PFE,0.07635224329173802
PG,0.10714095422940087
PH,0.10538322191296941
PLD,0.017516865379194668
PM,0.10598207823818989
SBUX,-0.015556485388214572
SCHW,-0.071720492212316
STM,-0.00558827822123308
TSLA,0.09763884857533478
UNP,0.008199895226468886
UPS,0.06467431067943559
XOM,0.07734911004488598
ZTS,0.10714095422940087
