ID,WEIGHT
AAL,-0.013886987842878281
AAPL,0.02327207834769957
ABBV,0.0030483061596245646
ABNB,0.005229890359873238
ABT,-0.00025996811547662974
ACGL,-0.0028147509206125367
ACI,0.021559883095454743
ACN,0.004240677557024755
ADBE,0.02377144501747034
ADI,-0.014182530854330534
ADM,0.005008022574785692
ADP,0.010586871593333333
AEE,-0.020541894828120695
AEP,0.005315099847669461
AER,-0.022386772660980672
AES,0.011777384592605617
AFL,-0.015706259966712963
AGR,0.011274129506486057
AIG,0.00989309430309883
AJG,0.015382588355826914
ALC,-0.020708684913654598
ALL,-0.010337584448161314
ALLY,-0.008441463460543065
AMAT,0.022169339369670263
AMD,0.023453307323849173
AMGN,0.02087774731904875
AMP,-0.0058142357035924006
AMT,-0.0030065020095078904
AMZN,0.0008889600887018575
AON,0.01826540599019179
APD,0.011628350126712296
APH,0.020057854123147742
APO,-0.012973790459919653
ASML,-0.020247261998308758
AVGO,-0.014882877182601131
AXP,0.0012985477058832587
AZO,-0.023645708099501058
BA,0.024552257782723203
BAC,0.015533951770042001
BAX,0.011460368918920697
BBY,0.01056125833620185
BCE,-0.005434993780826978
BDX,0.0211719664383812
BHF,0.014988044080297655
BIIB,0.021336192832838514
BK,-0.01728437590943125
BKNG,-0.007308733396394447
BKR,0.025353155720533028
BMO,0.013143083873924941
BMY,-0.009105600203654697
BN,0.0237117732409721
BNS,0.014450259575317306
BSX,-0.018170429479173585
BX,0.013487489977493142
C,-0.012252331717862032
CAH,0.0009707904675455101
CARR,-0.009126546636272742
CAT,-0.017028348946745844
CB,-0.011815434216074122
CBRE,-0.006500421896789439
CCEP,0.02167670075339783
CCI,-0.007318327548811775
CDW,0.00014013160878755795
CEG,0.019102859204684377
CFG,-0.01300160912406162
CHTR,-0.015903784339581454
CI,0.00460324141096494
CL,0.014782225257235255
CM,-0.011889735972198522
CME,0.01655745098487198
CMI,-0.002831031911563538
CNC,0.02294168805014777
CNH,0.02312637783263282
CNI,0.011740918682149755
CNP,-0.0035092104757847476
CNQ,0.0016471150509670635
COF,0.008848585420833282
COP,-0.00479370318426245
COR,0.014460598748607636
COST,-0.015355566330941652
CP,-0.007846648741442402
CRH,0.02240721200702485
CRM,0.006096944836709058
CSCO,-0.00499629831372612
CSX,0.023926914553752582
CTSH,0.016350457386069724
CTVA,0.0030539344668777434
CVE,-0.005224374154253163
CVS,-0.02163670747242684
CVX,-0.012779936434514591
D,-0.015125713280532325
DAL,-0.003459381335752644
DB,0.02559652701341592
DD,-0.0019323766616754755
DE,-0.0164210741228373
DELL,-0.009143785173751768
DFS,0.00514507283183153
DG,0.007293178126679607
DHI,0.024280356121976043
DHR,-0.004436467383638796
DIS,-0.01420403012417848
DLR,-0.016145288490657054
DLTR,0.02090017772555016
DOW,-0.013452367403719656
DTE,0.009758359926388344
DUK,0.0076450533291530075
DVN,-0.02264142028501095
ECL,-0.0014978721032534558
ED,0.02536019172759051
EG,0.007799708772082104
EIX,-0.010680952614326347
EL,0.014484085152657967
ELV,-0.018919254396025886
EMR,0.00846792766543265
ENB,0.01642743574360093
EOG,0.00035471029729623456
EPD,0.004484755211962184
EQH,0.020911559854807034
EQIX,-0.013274322924571388
ES,-0.022443959263873135
ET,0.02141146868192503
ETN,-0.007002329746132824
ETR,0.011108069523118451
EXC,0.00536496765593535
F,0.017153308729366316
FANG,-0.019987092262190045
FCX,-0.0177642959397805
FDX,-0.023366243097881597
FE,0.008564791880230939
FERN,-0.000582195026283521
FI,-0.023309173664163782
FIS,-0.011614071249934584
FITB,0.014613698683181036
FNF,-0.02061081282545838
FNRC,0.010134045566919915
FRCB,0.009330410123190818
FTS,0.023708197944464052
GD,0.0016751153830932334
GE,0.012504511915176672
