ID,WEIGHT
AAL,-0.034288814568516866
AAPL,0.02672258811232825
ABBV,-0.015244360230584474
ABNB,-0.01617436919368201
ABT,-0.02639953393673175
ACGL,0.043698435368948116
ACI,-0.044193725025958766
ACN,0.01107348936274024
ADBE,0.02642916753682137
ADI,-0.040507592269254745
ADM,0.0010289205030713927
ADP,-0.015897801575731625
AEE,-0.04118506404425533
AEP,0.03438018068082893
AER,0.012232445785118375
AES,-0.04460455876162704
AFL,0.04942976124452764
AGR,-0.04131882894650858
AIG,0.03267207801522941
AJG,-0.044252508422050016
ALC,-0.028076041223649068
ALL,-0.001375102447820263
ALLY,0.030338856834524697
AMAT,0.03149518885547492
AMD,-0.02639938450487844
AMGN,0.02539095131723282
AMP,-0.03667710570689836
AMT,-0.03891359736447233
AMZN,0.041051159313984315
AON,0.0053047123522222545
APD,-0.003561877257415247
APH,0.04610611869647639
APO,-0.011121998597933225
ASML,0.02529631716235231
AVGO,0.012241234233531198
AXP,0.039406418678316166
AZO,-0.024590772981306047
BA,0.0027881509994030496
BAC,-0.03839106420452489
BAX,-0.03543835014060771
BBY,0.030354605763576514
BCE,0.008077791238525402
BDX,0.014708693789966754
BHF,-0.02421916185453626
BIIB,-0.02086454859503309
BK,-0.0009207777244299303
BKNG,-0.018710142150854557
BKR,-0.03728129006127331
BMO,-0.024490518783403577
BMY,-0.046403814804177136
BN,-0.01592974363271931
BNS,0.011819458869726109
BSX,-0.00016226785244479597
BX,0.03723234897911239
C,0.007694738472318163
CAH,0.010943326428745362
CARR,-0.0064358374487099995
CAT,0.026328350947422516
CB,0.013266129566029614
CBRE,-0.03515068186166147
CCEP,-0.03860139521855608
CCI,0.03922944552723816
CDW,-0.03474811246347083
CEG,-0.04802269117064774
CFG,0.04809619808183922
CHTR,0.0398298269990158
CI,0.002320075918705186
CL,-0.03908067951974237
CM,0.0031447523094906976
CME,-0.03807793271011602
CMI,-0.045032479051018925
CNC,0.04514949973207602
CNH,-0.025242375344545705
CNI,0.029826475816160533
CNP,0.005111489031188819
CNQ,0.04616024332817788
COF,0.04309177981475151
COP,0.04038153179988814
COR,-0.010840887046428785
COST,-0.03509299928697611
CP,-0.02546547909824381
CRH,0.018792296431575567
CRM,-0.01973265808670845
CSCO,-0.046109503212055515
CSX,-0.014948654696306858
CTSH,-0.04775070197543379
CTVA,0.004718677556331444
CVE,0.034451113124883206
CVS,-0.0199135384788183
CVX,0.015955205994645755
D,-0.046796820833121124
DAL,0.014222573185334042
DB,0.01354548088364177
DD,0.04410587601018927
DE,-0.020413451949735446
DELL,0.015230007091517367
DFS,0.049982204635490454
DG,-0.027892782109921715
DHI,-0.04440908558932506
DHR,0.040457815386527374
DIS,0.037196481429240216
DLR,-0.04356877679142729
DLTR,0.008932383326138806
DOW,-0.012046818050670129
DTE,-0.012285016338372569
DUK,0.04628410463413282
DVN,-0.0280046130081894
ECL,-0.006373654226207406
ED,-0.029033313255736767
EG,-0.015306263570856057
EIX,0.04437640693638405
EL,0.026520205832891344
ELV,0.0008821310589789064
EMR,0.00747265800998944
ENB,0.023131850159976458
EOG,-0.017575280265826505
EPD,0.01996343037540492
EQH,0.01726392723512804
EQIX,0.036622814788224156
ES,-0.0260456433300382
ET,-0.0470684310989281
ETN,-0.03992786605161849
ETR,0.04705928971149656
EXC,-0.03933367746261125
F,-0.028769319794445344
FANG,-0.03854051686091394
FCX,-0.018965544807573804
FDX,0.025368260317120445
FE,0.025334774293209086
FERN,0.00953699242782323
FI,-0.03579887164297722
FIS,-0.03794500490600803
FITB,-0.004707693253024815
FNF,-0.027357654601829647
FNRC,-0.019901833561539822
FRCB,-0.03423006052467939
FTS,-0.02958276814370668
GD,0.04633025416586238
GE,0.030084107803298094
GILD,0.03843234704351743
GIS,-0.04173136462227868
GLW,0.003775501126466893
GM,-0.010987462841361172
GOLD,-0.038980785424774414
GOOG,0.04290430988800287
GPC,-0.04605187976661878
GPN,-0.017834584477011965
GS,0.01795126791067314
HAL,-0.01839921457639051
HBAN,0.03442023826292037
HCA,-0.03572693179230171
HD,0.024451779494041787
HES,0.007929066904871898
HIG,0.02117952214618736
HON,-0.04179398399021578
HPE,0.02626688234271768
HPQ,-0.030244707827459413
HSY,-0.04152888398240023
